iter	Passed	Remaining
0	152	151928
1	153	76482
2	154	51258
3	156	38944
4	157	31433
5	158	26328
6	159	22675
7	160	19940
8	161	17821
9	163	16138
10	164	14759
11	165	13616
12	166	12646
13	167	11818
14	170	11223
15	172	10615
16	173	10052
17	175	9547
18	176	9097
19	177	8687
20	178	8312
21	179	7987
22	180	7682
23	181	7397
24	185	7218
25	186	6985
26	187	6757
27	188	6558
28	190	6362
29	191	6181
30	192	6009
31	193	5845
32	194	5696
33	195	5554
34	196	5421
35	199	5348
36	201	5234
37	202	5121
38	203	5015
39	204	4913
40	205	4813
41	207	4726
42	208	4642
43	209	4558
44	210	4476
45	214	4447
46	215	4371
47	216	4301
48	218	4233
49	219	4165
50	220	4101
51	221	4040
52	222	3980
53	223	3922
54	225	3872
55	228	3858
56	230	3807
57	231	3758
58	232	3709
59	233	3661
60	234	3616
61	236	3571
62	237	3528
63	238	3486
64	239	3446
65	240	3408
66	243	3393
67	245	3365
68	246	3326
69	247	3287
70	248	3250
71	249	3213
72	250	3179
73	251	3145
74	252	3110
75	253	3077
76	254	3045
77	255	3014
78	255	2984
79	258	2978
80	259	2949
81	260	2920
82	261	2888
83	262	2861
84	263	2834
85	264	2810
86	265	2785
87	266	2760
88	267	2736
89	268	2711
90	269	2689
91	270	2667
92	272	2657
93	273	2638
94	274	2617
95	275	2596
96	276	2575
97	277	2555
98	278	2535
99	279	2516
100	280	2498
101	281	2481
102	283	2466
103	284	2449
104	285	2432
105	288	2430
106	291	2433
107	292	2419
108	294	2404
109	295	2390
110	296	2375
111	297	2361
112	298	2346
113	300	2332
114	304	2342
115	305	2328
116	306	2312
117	307	2299
118	308	2286
119	309	2272
120	311	2259
121	312	2245
122	313	2233
123	314	2220
124	315	2208
125	319	2213
126	319	2199
127	321	2189
128	322	2178
129	323	2167
130	324	2155
131	326	2144
132	327	2133
133	328	2123
134	329	2111
135	332	2113
136	333	2103
137	335	2094
138	336	2084
139	337	2073
140	338	2062
141	339	2048
142	340	2038
143	341	2029
144	342	2019
145	343	2009
146	344	1999
147	345	1989
148	348	1991
149	349	1982
150	351	1973
151	352	1965
152	353	1956
153	354	1947
154	355	1939
155	356	1930
156	358	1922
157	359	1914
158	360	1905
159	363	1906
160	363	1895
161	364	1887
162	365	1878
163	366	1869
164	367	1860
165	368	1851
166	369	1843
167	370	1835
168	371	1827
169	372	1819
170	373	1811
171	374	1803
172	375	1795
173	377	1793
174	379	1788
175	380	1781
176	381	1773
177	382	1765
178	383	1758
179	384	1750
180	385	1743
181	386	1736
182	387	1729
183	388	1721
184	389	1714
185	390	1707
186	392	1707
187	393	1700
188	394	1693
189	395	1686
190	396	1680
191	397	1673
192	398	1667
193	399	1660
194	400	1654
195	401	1648
196	402	1641
197	403	1635
198	405	1630
199	408	1634
200	409	1628
201	410	1622
202	411	1616
203	412	1611
204	414	1607
205	415	1602
206	416	1597
207	418	1592
208	419	1587
209	420	1582
210	421	1577
211	422	1572
212	424	1567
213	425	1563
214	426	1558
215	428	1553
216	429	1548
217	430	1543
218	431	1538
219	432	1533
220	433	1528
221	436	1530
222	437	1525
223	439	1521
224	440	1516
225	441	1511
226	442	1506
227	443	1501
228	444	1497
229	446	1493
230	447	1488
231	448	1484
232	451	1487
233	453	1483
234	454	1479
235	455	1475
236	456	1470
237	457	1465
238	458	1461
239	460	1456
240	461	1452
241	462	1448
242	463	1444
243	466	1445
244	467	1441
245	468	1437
246	470	1433
247	471	1428
248	472	1424
249	473	1420
250	474	1416
251	475	1412
252	476	1408
253	478	1404
254	479	1399
255	480	1396
256	481	1393
257	482	1388
258	483	1384
259	484	1379
260	485	1375
261	486	1371
262	487	1366
263	488	1362
264	489	1357
265	490	1353
266	491	1349
267	492	1345
268	494	1344
269	495	1340
270	496	1336
271	497	1332
272	498	1328
273	499	1324
274	500	1320
275	501	1316
276	502	1312
277	503	1308
278	504	1304
279	505	1299
280	506	1295
281	507	1292
282	509	1291
283	511	1288
284	512	1284
285	513	1281
286	514	1277
287	515	1273
288	515	1269
289	516	1265
290	517	1261
291	518	1258
292	520	1255
293	521	1251
294	525	1255
295	526	1252
296	528	1249
297	529	1247
298	530	1244
299	531	1241
300	533	1238
301	534	1234
302	535	1231
303	536	1228
304	540	1231
305	541	1228
306	543	1226
307	544	1223
308	545	1220
309	546	1217
310	547	1213
311	549	1210
312	550	1207
313	551	1204
314	554	1205
315	556	1204
316	559	1205
317	561	1204
318	562	1200
319	563	1197
320	564	1194
321	565	1191
322	566	1188
323	570	1189
324	571	1186
325	572	1183
326	573	1180
327	574	1177
328	576	1174
329	577	1172
330	578	1169
331	579	1166
332	581	1164
333	583	1163
334	585	1161
335	586	1158
336	587	1156
337	588	1153
338	590	1150
339	591	1147
340	592	1144
341	593	1141
342	594	1139
343	596	1136
344	598	1137
345	600	1134
346	601	1132
347	602	1128
348	603	1125
349	604	1122
350	605	1119
351	606	1116
352	607	1113
353	608	1110
354	609	1107
355	610	1104
356	611	1100
357	614	1101
358	615	1098
359	616	1095
360	616	1092
361	617	1089
362	618	1086
363	619	1083
364	620	1080
365	621	1077
366	622	1074
367	623	1071
368	624	1068
369	625	1065
370	627	1063
371	629	1062
372	630	1059
373	631	1056
374	632	1053
375	633	1050
376	634	1047
377	635	1045
378	636	1042
379	637	1039
380	638	1036
381	639	1033
382	640	1031
383	641	1028
384	642	1026
385	644	1024
386	645	1022
387	646	1019
388	647	1016
389	648	1014
390	649	1012
391	650	1009
392	652	1007
393	653	1004
394	654	1002
395	657	1002
396	658	1000
397	659	997
398	660	995
399	662	993
400	663	991
401	664	988
402	665	986
403	667	984
404	668	981
405	669	979
406	672	979
407	673	977
408	674	975
409	676	973
410	677	970
411	678	968
412	679	966
413	680	963
414	682	961
415	683	958
416	684	956
417	687	956
418	688	954
419	689	952
420	690	949
421	691	947
422	692	945
423	694	942
424	695	940
425	696	937
426	697	935
427	697	932
428	698	930
429	700	927
430	703	928
431	704	926
432	705	923
433	706	921
434	707	919
435	708	916
436	709	914
437	711	912
438	712	910
439	713	907
440	714	905
441	717	906
442	719	904
443	720	902
444	721	900
445	722	897
446	723	895
447	724	892
448	725	890
449	726	887
450	727	885
451	728	882
452	729	880
453	730	878
454	733	878
455	734	876
456	735	874
457	736	871
458	737	869
459	738	867
460	739	864
461	740	862
462	741	859
463	742	857
464	743	855
465	744	853
466	746	852
467	750	853
468	751	851
469	752	848
470	753	846
471	754	844
472	755	841
473	756	839
474	757	837
475	758	835
476	759	832
477	763	833
478	764	831
479	765	829
480	767	827
481	768	826
482	770	824
483	771	822
484	772	820
485	774	818
486	775	816
487	778	816
488	779	814
489	780	812
490	781	810
491	783	808
492	784	806
493	785	804
494	786	802
495	787	800
496	788	798
497	789	795
498	793	796
499	794	794
500	796	793
501	797	790
502	798	788
503	799	786
504	802	786
505	803	784
506	805	782
507	806	780
508	807	778
509	808	776
510	809	774
511	810	772
512	812	771
513	813	768
514	814	766
515	815	764
516	818	764
517	819	762
518	820	760
519	821	758
520	822	756
521	824	754
522	825	752
523	826	750
524	827	748
525	828	746
526	830	745
527	833	745
528	834	743
529	835	741
530	836	739
531	837	736
532	838	734
533	839	732
534	840	730
535	841	728
536	842	726
537	843	724
538	844	722
539	847	721
540	848	719
541	849	718
542	850	716
543	851	713
544	852	711
545	853	709
546	854	707
547	855	705
548	856	703
549	857	701
550	858	699
551	859	697
552	861	696
553	862	694
554	864	692
555	865	690
556	865	688
557	866	686
558	867	684
559	868	682
560	870	681
561	871	679
562	872	677
563	873	675
564	874	673
565	877	672
566	878	670
567	879	668
568	880	667
569	881	665
570	882	663
571	884	661
572	885	659
573	886	657
574	887	656
575	889	654
576	892	653
577	893	652
578	894	650
579	895	648
580	897	647
581	898	645
582	899	643
583	900	641
584	902	639
585	903	638
586	904	636
587	907	635
588	908	634
589	909	632
590	910	630
591	912	628
592	913	626
593	914	624
594	915	623
595	916	621
596	917	619
597	918	617
598	922	617
599	923	615
600	924	613
601	925	612
602	926	610
603	928	608
604	929	606
605	930	605
606	931	603
607	932	601
608	933	599
609	934	597
610	936	596
611	938	594
612	939	593
613	940	591
614	941	589
615	943	587
616	944	586
617	945	584
618	946	582
619	947	580
620	950	580
621	951	578
622	953	576
623	954	575
624	955	573
625	956	571
626	957	569
627	958	567
628	959	565
629	960	563
630	961	562
631	962	560
632	963	558
633	965	557
634	967	555
635	967	553
636	968	552
637	969	550
638	970	548
639	971	546
640	972	544
641	973	542
642	974	541
643	975	539
644	976	537
645	977	535
646	979	534
647	984	534
648	985	532
649	986	531
650	987	529
651	988	527
652	989	525
653	990	523
654	991	522
655	992	520
656	993	518
657	995	517
658	996	515
659	997	513
660	998	511
661	999	510
662	1000	508
663	1001	506
664	1002	505
665	1004	503
666	1005	501
667	1006	500
668	1007	498
669	1010	497
670	1012	496
671	1013	494
672	1014	492
673	1015	491
674	1016	489
675	1017	487
676	1018	486
677	1020	484
678	1021	482
679	1022	481
680	1024	479
681	1025	478
682	1026	476
683	1028	474
684	1029	473
685	1030	471
686	1031	469
687	1032	468
688	1033	466
689	1034	464
690	1035	463
691	1039	462
692	1041	461
693	1042	459
694	1044	458
695	1046	457
696	1047	455
697	1048	453
698	1049	452
699	1051	450
700	1053	449
701	1054	447
702	1055	445
703	1056	444
704	1057	442
705	1059	441
706	1060	439
707	1061	437
708	1062	435
709	1063	434
710	1064	432
711	1071	433
712	1073	431
713	1075	430
714	1077	429
715	1079	428
716	1080	426
717	1083	425
718	1085	424
719	1087	422
720	1088	421
721	1091	420
722	1094	419
723	1099	419
724	1101	417
725	1102	416
726	1104	414
727	1115	416
728	1117	415
729	1119	413
730	1120	412
731	1122	410
732	1124	409
733	1126	408
734	1127	406
735	1131	405
736	1133	404
737	1136	403
738	1138	402
739	1140	400
740	1141	399
741	1145	398
742	1146	396
743	1149	395
744	1150	393
745	1153	392
746	1161	393
747	1163	392
748	1165	390
749	1166	388
750	1168	387
751	1177	388
752	1179	386
753	1181	385
754	1182	383
755	1193	385
756	1196	383
757	1203	384
758	1211	384
759	1217	384
760	1219	382
761	1220	381
762	1224	380
763	1225	378
764	1227	376
765	1228	375
766	1230	373
767	1231	372
768	1233	370
769	1234	368
770	1238	367
771	1240	366
772	1242	364
773	1244	363
774	1245	361
775	1247	360
776	1248	358
777	1250	356
778	1254	355
779	1256	354
780	1257	352
781	1258	350
782	1260	349
783	1262	347
784	1263	346
785	1265	344
786	1266	342
787	1268	341
788	1271	339
789	1272	338
790	1273	336
791	1275	334
792	1276	333
793	1277	331
794	1279	329
795	1283	328
796	1284	327
797	1286	325
798	1287	323
799	1288	322
800	1289	320
801	1290	318
802	1292	317
803	1293	315
804	1297	314
805	1298	312
806	1300	310
807	1301	309
808	1303	307
809	1304	306
810	1306	304
811	1308	302
812	1312	301
813	1314	300
814	1316	298
815	1317	297
816	1319	295
817	1321	293
818	1322	292
819	1324	290
820	1327	289
821	1329	287
822	1331	286
823	1333	284
824	1334	283
825	1336	281
826	1337	279
827	1339	278
828	1343	277
829	1344	275
830	1346	273
831	1348	272
832	1349	270
833	1351	268
834	1352	267
835	1354	265
836	1359	264
837	1360	263
838	1362	261
839	1363	259
840	1366	258
841	1369	257
842	1373	255
843	1375	254
844	1376	252
845	1379	251
846	1381	249
847	1382	247
848	1384	246
849	1387	244
850	1389	243
851	1391	241
852	1392	239
853	1393	238
854	1395	236
855	1396	234
856	1397	233
857	1398	231
858	1400	229
859	1403	228
860	1404	226
861	1405	225
862	1407	223
863	1408	221
864	1409	220
865	1411	218
866	1413	216
867	1417	215
868	1419	214
869	1421	212
870	1422	210
871	1424	209
872	1425	207
873	1427	205
874	1428	204
875	1428	202
876	1430	200
877	1432	199
878	1433	197
879	1434	195
880	1435	193
881	1436	192
882	1437	190
883	1438	188
884	1439	187
885	1440	185
886	1441	183
887	1443	182
888	1448	180
889	1450	179
890	1451	177
891	1452	175
892	1453	174
893	1454	172
894	1455	170
895	1457	169
896	1458	167
897	1459	165
898	1460	164
899	1463	162
900	1465	160
901	1466	159
902	1467	157
903	1468	155
904	1469	154
905	1470	152
906	1472	150
907	1473	149
908	1474	147
909	1475	145
910	1478	144
911	1479	142
912	1481	141
913	1482	139
914	1483	137
915	1484	136
916	1485	134
917	1487	132
918	1488	131
919	1489	129
920	1490	127
921	1493	126
922	1495	124
923	1496	123
924	1497	121
925	1498	119
926	1499	118
927	1500	116
928	1501	114
929	1503	113
930	1504	111
931	1505	109
932	1508	108
933	1509	106
934	1510	104
935	1511	103
936	1512	101
937	1514	100
938	1515	98
939	1517	96
940	1556	97
941	1558	95
942	1559	94
943	1561	92
944	1562	90
945	1564	89
946	1565	87
947	1567	85
948	1568	84
949	1570	82
950	1572	81
951	1574	79
952	1576	77
953	1589	76
954	1591	74
955	1592	73
956	1593	71
957	1595	69
958	1596	68
959	1598	66
960	1599	64
961	1615	63
962	1619	62
963	1620	60
964	1622	58
965	1623	57
966	1625	55
967	1626	53
968	1628	52
969	1629	50
970	1631	48
971	1635	47
972	1636	45
973	1638	43
974	1639	42
975	1641	40
976	1643	38
977	1644	36
978	1646	35
979	1688	34
980	1690	32
981	1693	31
982	1694	29
983	1698	27
984	1699	25
985	1700	24
986	1701	22
987	1702	20
988	1703	18
989	1704	17
990	1706	15
991	1707	13
992	1708	12
993	1709	10
994	1714	8
995	1715	6
996	1717	5
997	1718	3
998	1722	1
999	1723	0
